replay,machine,pair,task,reference,arm,version,N,n_omitted,n_routed,b_excluded_ids,all_n,all_pol_p50,all_pol_p90,all_pol_p99,all_fix_p50,all_fix_p90,all_fix_p99,all_d_p10,all_d_p50,all_d_p90,all_frac_slower,all_mean_saving,om_n,om_pol_p50,om_pol_p90,om_pol_p99,om_fix_p50,om_fix_p90,om_fix_p99,om_d_p10,om_d_p50,om_d_p90,om_frac_slower,om_mean_saving,rt_n,rt_pol_p50,rt_pol_p90,rt_pol_p99,rt_fix_p50,rt_fix_p90,rt_fix_p99,rt_d_p10,rt_d_p50,rt_d_p90,rt_frac_slower,rt_mean_saving,pol_p90_worse,pol_p99_worse,source
ClusterB,ClusterB,large,OBQA,Text,POLICY,a,128,97,31,,128,296.86394752934575,1084.8537645302713,1309.0681163640693,1012.7124094869941,1232.9652537824586,1345.7943349122072,-43.841229868121445,669.7814092040062,909.8621960962191,0.25,517.1262959393061,97,295.89714715257287,337.104271678254,438.33503025581945,1010.9084018040448,1248.3869190793484,1359.6927262470122,534.7275129985064,704.2444839607924,928.1938751693815,0.010309278350515464,695.9758841110988,31,1056.8125690333545,1193.9731719903648,1308.4969338495284,1016.9734491501004,1156.4533580094576,1270.7396735902876,-47.696354100480676,-42.008127085864544,-37.695926148444414,1.0,-42.49983479178721,False,False,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
ClusterB,ClusterB,large,OBQA,Text,POLICY,b,127,96,31,9-782,127,296.7613930813968,1083.4958406165242,1284.610411915928,1010.9084018040448,1222.8163932450116,1309.4544288888574,-43.69905749335885,670.9511282388121,910.2403698023409,0.2440944881889764,532.7795144742516,96,295.8903916878626,337.0661688968539,338.2507035857998,1010.8547449344769,1237.288601580076,1320.5129058216696,550.7548640016466,706.9081465015188,928.4569774754345,0.0,718.5468043414099,31,1056.8125690333545,1193.9731719903648,1308.4969338495284,1016.9734491501004,1156.4533580094576,1270.7396735902876,-47.696354100480676,-42.008127085864544,-37.695926148444414,1.0,-42.49983479178721,False,False,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
ClusterB,ClusterB,large,OBQA,C2C,POLICY,a,128,97,31,,128,296.6000174637884,400.21222222130746,485.75580553151667,353.751722490415,480.3776096785441,646.7204527766444,-62.459409376606345,16.571865999139845,184.17754487600178,0.484375,36.57528850817471,97,295.4594630282372,335.5557840783149,338.730813190341,353.60489995218813,536.4690101239833,650.543891526758,-62.89477413520217,21.681299898773432,239.9803488980981,0.31958762886597936,61.75233916014663,31,397.82340405508876,482.9356630798429,511.8719403631985,355.2263448946178,438.3015790954232,468.19077820982784,-45.40909710340202,-41.947051882743835,-38.764757104218006,1.0,-42.2045151447697,False,False,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
ClusterB,ClusterB,large,OBQA,C2C,POLICY,b,127,96,31,9-782,127,296.5958279091865,400.526999309659,485.7866048812866,353.60489995218813,480.1370348781347,644.7462396370247,-62.46129092760384,16.330133890733123,182.9106799326837,0.4881889763779528,33.479536669035475,96,295.45163305010647,335.60247637797147,338.73603877145797,353.3286964520812,519.0356550738215,645.2145269257016,-62.90717143565416,21.58637100365013,222.46795508544892,0.3229166666666667,57.91917840057673,31,397.82340405508876,482.9356630798429,511.8719403631985,355.2263448946178,438.3015790954232,468.19077820982784,-45.40909710340202,-41.947051882743835,-38.764757104218006,1.0,-42.2045151447697,False,False,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
ClusterB,ClusterB,large,ARC,Text,POLICY,a,128,120,8,,128,335.2771765785292,342.0894984388724,1337.9637098521932,1076.161289587617,1303.2600060570985,1629.9955188389874,502.0981564419344,747.1536989323795,971.5988079784438,0.0625,717.6287613056047,120,319.6417869767174,340.1844644686207,344.3177541764453,1072.505313088186,1286.8731151800605,1638.7048121308912,577.2796331206337,755.8500821469352,974.1679818369449,0.0,768.4231723872168,8,1183.9159480296075,1423.3246281044558,1514.0089195757173,1139.156919438392,1369.445519312285,1482.4005824537016,-52.325913053937256,-43.56545093469322,-36.951268278062344,1.0,-44.28740491857752,False,False,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
ClusterB,ClusterB,large,ARC,Text,POLICY,b,127,119,8,Mercury_7207358,127,335.4746880941093,342.09940624423325,1339.5258551230645,1077.267459128052,1303.8292840588838,1631.845441767945,500.0481196679175,746.5856238268316,971.8416169751436,0.06299212598425197,717.1886140795967,119,333.91620591282845,340.1984048541635,344.3234860058874,1075.0551200471818,1288.504121499136,1640.8752661198364,576.718910317868,754.1214572265744,975.0374927185476,0.0,768.3802792223312,8,1183.9159480296075,1423.3246281044558,1514.0089195757173,1139.156919438392,1369.445519312285,1482.4005824537016,-52.325913053937256,-43.56545093469322,-36.951268278062344,1.0,-44.28740491857752,False,False,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
ClusterB,ClusterB,large,ARC,C2C,POLICY,a,128,115,13,,128,334.5944370375946,344.3424712633714,520.4852751339786,400.59922100044787,654.3283172883093,887.817194447853,-63.673496432602406,61.827997444197536,328.9680857444181,0.3828125,110.93494467604614,115,333.63512391224504,341.00194959901273,346.80102990940213,403.9951260201633,656.6354607231916,898.4042367339134,-63.70431249961257,103.3444490749389,351.86286731623113,0.3130434782608696,128.17574994152656,13,440.4322109185159,520.7070158794522,790.3122272994366,400.19194409251213,484.70120620913804,742.3573701549318,-46.524208039045334,-42.54933400079608,-35.01927759498358,1.0,-41.579871133972816,False,False,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
ClusterB,ClusterB,large,ARC,C2C,POLICY,b,127,114,13,Mercury_7207358,127,334.6779749263078,344.50118467211723,520.516952383332,401.0064979083836,655.0973650999367,888.6315823160107,-63.674755254760385,62.27997690439224,332.13660134933906,0.3779527559055118,112.28624428805756,114,333.7384795304388,341.0287391860038,346.80291906930506,404.32615706231445,657.4045085348189,899.2186246020723,-63.707979884929955,103.87873649597168,351.9820627057925,0.30701754385964913,129.83238025723645,13,440.4322109185159,520.7070158794522,790.3122272994366,400.19194409251213,484.70120620913804,742.3573701549318,-46.524208039045334,-42.54933400079608,-35.01927759498358,1.0,-41.579871133972816,False,False,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
ClusterB,ClusterB,medium,OBQA,C2C,POLICY,a,128,66,62,,128,334.5956535777077,474.12516821641475,641.5485361684116,388.2481310283765,463.8327409978956,664.6028908598238,-34.09902369603515,79.30071500595659,218.02400483284137,0.46875,79.6591089656431,66,255.31658006366342,281.0270965564996,375.9753887658003,395.83567599765956,462.2307299869135,657.7987458207643,80.73580509517342,129.92996838875115,239.66807255055755,0.0,148.19692049147278,62,415.1425650343299,521.4692876907066,717.4381622090006,374.50513802468777,490.1785175548866,1654.026131550783,-34.6575987059623,-32.9096115892753,-31.065281853079796,0.967741935483871,6.699503147824397,True,False,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl
ClusterB,ClusterB,medium,OBQA,C2C,POLICY,b,127,66,61,9-782,127,319.73349512554705,470.00543717294937,595.0717715267091,382.23418197594583,462.90093110874295,643.6847748374565,-34.10806688480079,79.27978504449129,208.38683964684608,0.47244094488188976,60.95184697439586,66,255.31658006366342,281.0270965564996,375.9753887658003,395.83567599765956,462.2307299869135,657.7987458207643,80.73580509517342,129.92996838875115,239.66807255055755,0.0,148.19692049147278,61,398.9771930500865,495.9689471870661,624.0581672638654,366.7760940734297,463.8031139038503,589.8953416850417,-34.67146889306605,-32.91496215388179,-31.193540897220373,0.9836065573770492,-33.4444620768677,True,False,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl
ClusterB,ClusterB,medium,ARC,C2C,POLICY,a,128,77,51,,128,287.7930924296379,539.9610436055808,775.1672655693257,412.4458124861121,615.6557688256726,801.4033783786,-33.76269112341106,81.5804839367047,314.10279055126006,0.40625,100.66012487186526,77,258.0800580326468,318.7679332681,424.42533694207634,423.8950861617923,615.2833743020893,993.4397227410188,80.56647516787052,114.06248109415174,362.38409234210854,0.012987012987012988,189.47393512474252,51,435.54604798555374,647.1203279215842,782.6827259268612,401.1937619652599,612.7316190395504,749.6223986381665,-34.496488980948925,-33.11415994539857,-31.496025156229734,1.0,-33.43131413738079,False,False,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl
ClusterB,ClusterB,medium,ARC,C2C,POLICY,b,127,76,51,Mercury_7207358,127,287.86954493261874,542.3654765356333,775.3882752498611,423.6978630069643,616.6304854210466,801.8254098761824,-33.77115111798048,81.50550699792802,316.4620327297599,0.4094488188976378,100.77368176182894,76,258.0871864920482,318.8073595520109,425.1407490228303,427.2105460986495,616.4826094172895,1000.9664516546763,80.5377111537382,114.50728494673967,363.1888049421832,0.013157894736842105,190.83229743103547,51,435.54604798555374,647.1203279215842,782.6827259268612,401.1937619652599,612.7316190395504,749.6223986381665,-34.496488980948925,-33.11415994539857,-31.496025156229734,1.0,-33.43131413738079,False,False,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl
ClusterB,ClusterB,large,MMLU-Pro,Text,POLICY,a,128,48,80,,128,1170.6022474681959,1635.0614665076134,2032.4304763134571,1273.1016781181097,1651.5161003684625,2225.619261292741,-54.99100927263498,-41.27581755165011,1121.5737510006875,0.6171875,346.3156871330284,48,292.99208568409085,336.37027256190777,349.2728284979239,1185.70696702227,1563.076914683916,2038.9471527491698,591.5711598005146,856.6337114898488,1268.6502957018095,0.0,929.3578328603568,80,1352.4112704908475,1753.8203107425945,2093.5412888484993,1307.528994511813,1676.682026404888,2883.038594522495,-56.855584774166346,-44.98030501417816,-38.64770990330726,0.9875,-3.509600303368643,False,False,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl
ClusterB,ClusterB,large,MMLU-Pro,Text,POLICY,b,127,48,79,test:3074,127,1167.5384270492941,1613.4382487274706,2032.7216983027754,1270.0386310461909,1644.0663748420775,2111.1471659503873,-54.99113937839866,-41.30287910811603,1102.2958903107794,0.6220472440944882,322.06478923757186,48,292.99208568409085,336.37027256190777,349.2728284979239,1185.70696702227,1563.076914683916,2038.9471527491698,591.5711598005146,856.6337114898488,1268.6502957018095,0.0,929.3578328603568,79,1349.7305340133607,1715.3444484807553,2096.076899268664,1306.5118279773742,1657.7637329231948,2086.3063095137472,-57.08215767517686,-45.02512305043638,-38.9349861536175,1.0,-46.923389166145576,False,False,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl
ClusterB,ClusterB,large,MMLU-Pro,C2C,POLICY,a,128,48,80,,128,293.6454564332962,469.94591266848147,626.6680947574789,250.89407549239695,507.80495710205287,1383.9067966747107,-63.17171226255596,-43.56650752015412,137.90497442241755,0.828125,8.242936348324292,48,294.643540517427,336.19222617708147,348.09921074891463,269.1238085972145,655.0937982276083,1486.4476563688368,-95.91700732707977,-38.75411732587963,351.9652754534038,0.5625,92.95577339556378,80,286.3112709019333,486.1369212856521,703.8749323482606,241.0551324719563,440.2113858843225,719.7901899507233,-52.8975265333429,-43.56650752015412,-40.82997723016888,0.9875,-42.584765880019404,False,False,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl
ClusterB,ClusterB,large,MMLU-Pro,C2C,POLICY,b,127,48,79,test:3074,127,293.553618947044,467.67381257377565,584.6325369365512,250.51887007430196,507.06100361421704,1386.287691616452,-63.177135679870844,-43.711340986192226,114.359966106713,0.8346456692913385,6.478264196372525,48,294.643540517427,336.19222617708147,348.09921074891463,269.1238085972145,655.0937982276083,1486.4476563688368,-95.91700732707977,-38.75411732587963,351.9652754534038,0.5625,92.95577339556378,79,286.2692929338664,480.03797507844865,602.8392775962129,240.67613994702697,436.4131578244269,561.8060900876299,-53.003418026492,-43.711340986192226,-40.862051071599126,1.0,-46.065032532250015,False,False,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl
