setting,q,threshold,N,n,k,p,CP999,accepted
obqa/Text,0.05,0.00026088953018188477,1366,49,4,0.902967253571293,0.2704037372793975,False
obqa/Text,0.1,0.0005782842636108398,1366,111,6,0.6800447676916015,0.15408032389226492,False
obqa/Text,0.15,0.0012158751487731934,1366,191,12,0.837609466668003,0.13599266855894948,False
obqa/Text,0.2,0.002199709415435791,1366,254,17,0.9116854737298186,0.12937939666065285,False
obqa/Text,0.25,0.003865182399749756,1366,321,22,0.9449527730308025,0.12310845170328392,False
obqa/Text,0.3,0.006706178188323975,1366,393,31,0.9948203068192075,0.12960188217256877,False
obqa/Text,0.35,0.010831654071807861,1366,455,36,0.997104567146484,0.125729471971207,False
obqa/Text,0.4,0.01669687032699585,1366,526,40,0.996197980812126,0.11829809634846454,False
obqa/Text,0.45,0.028030097484588623,1366,591,50,0.9998600868428933,0.12565893753224217,False
obqa/Text,0.5,0.04769003391265869,1366,674,61,0.9999957517125653,0.12955705719618518,False
obqa/Text,0.55,0.06844645738601685,1366,726,69,0.9999998039365048,0.13317298741980013,False
obqa/Text,0.6,0.0972546935081482,1366,787,79,0.9999999971889063,0.13757396558926532,False
obqa/Text,0.65,0.13543057441711426,1366,863,94,0.9999999999987358,0.1453432707419492,False
obqa/Text,0.7,0.18428069353103638,1366,927,111,1.0,0.1559971436013821,False
obqa/Text,0.75,0.24350953102111816,1366,994,135,1.0,0.17235111968897357,False
obqa/Text,0.8,0.3127708435058594,1366,1071,161,1.0,0.18671629526967132,False
obqa/Text,0.85,0.3932998776435852,1366,1140,192,1.0,0.20503803729500092,False
obqa/Text,0.9,0.46483469009399414,1366,1208,225,1.0,0.22299709690411837,False
obqa/Text,0.95,0.5346378087997437,1366,1274,260,1.0,0.24088875824951234,False
obqa/Text,1.0,Infinity,1366,1366,320,1.0,0.27130118394489156,False
arc/Text,0.05,0.00025004148483276367,448,19,0,0.37735360253530764,0.3048072038224393,False
arc/Text,0.1,0.0005946159362792969,448,47,1,0.31174520565453423,0.18013439021425212,False
arc/Text,0.15,0.0010211467742919922,448,68,4,0.7471243737629278,0.20095043151279773,False
arc/Text,0.2,0.00157243013381958,448,94,7,0.9014548846054414,0.19513864194200944,False
arc/Text,0.25,0.0023857951164245605,448,111,11,0.9902734791764027,0.21568062841922622,False
arc/Text,0.3,0.003396153450012207,448,125,11,0.9769228533574998,0.1929762004658355,False
arc/Text,0.35,0.005503296852111816,448,150,14,0.9915237933989696,0.1886255211318362,False
arc/Text,0.4,0.008607208728790283,448,176,15,0.984189074652039,0.1694102305704648,False
arc/Text,0.45,0.013643205165863037,448,196,19,0.9978951526468297,0.17884803203431393,False
arc/Text,0.5,0.0194246768951416,448,207,23,0.9998764949214691,0.19369314891451644,False
arc/Text,0.55,0.029173076152801514,448,229,27,0.9999865239102751,0.19713761967670312,False
arc/Text,0.6,0.045497894287109375,448,251,31,0.9999986066673097,0.19970199019951593,False
arc/Text,0.65,0.0699416995048523,448,269,32,0.9999977299221988,0.19132663843809017,False
arc/Text,0.7,0.11429524421691895,448,297,42,0.9999999994850429,0.2135622888117903,False
arc/Text,0.75,0.17697936296463013,448,320,49,0.9999999999987608,0.2240151632221411,False
arc/Text,0.8,0.2420368790626526,448,339,53,0.9999999999999272,0.22542358454599185,False
arc/Text,0.85,0.336806058883667,448,368,61,0.9999999999999999,0.2329562406084383,False
arc/Text,0.9,0.4400429129600525,448,400,75,1.0,0.2541033675073321,False
arc/Text,0.95,0.5464634895324707,448,433,85,1.0,0.2609621242241082,False
arc/Text,1.0,Infinity,448,448,95,1.0,0.27695193766342485,False
