setting,q,threshold,N,n,k,p,CP999,accepted,label
obqa/Text,0.05,8.58306884765625e-06,1365,57,0,0.05373354598274044,0.11413320958991735,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.1,2.384185791015625e-05,1365,110,0,0.0035448395440541825,0.06086662951401942,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.15,5.841255187988281e-05,1365,192,0,5.283627786488246e-05,0.03533838008880079,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.2,0.00011324882507324219,1365,259,0,1.6998624084634454e-06,0.026318343172223937,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.25,0.00019997358322143555,1365,311,0,1.1804327357121341e-07,0.021966574144704917,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.3,0.000394284725189209,1365,397,1,3.1376971940923616e-08,0.023018314776985203,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.35,0.0006575584411621094,1365,457,2,2.071000843562498e-08,0.024324151448802192,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.4,0.0011193156242370605,1365,533,6,1.1107119877812998e-06,0.03350519029614849,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.45,0.001936495304107666,1365,595,7,4.021753703932561e-07,0.03263668685773463,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.5,0.0031740665435791016,1365,671,12,1.2020346577546129e-05,0.03982762995665605,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.55,0.005570113658905029,1365,743,19,0.000624371079891911,0.04880830649865913,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.6,0.009371757507324219,1365,800,21,0.0005735099785435151,0.04865395125686046,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.65,0.016061782836914062,1365,877,32,0.03476096032378715,0.060395865028773116,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.7,0.029870986938476562,1365,941,49,0.650173402518083,0.07832031303166176,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.75,0.05291581153869629,1365,1021,64,0.9699094357324061,0.08958807864651994,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.8,0.09196263551712036,1365,1099,83,0.9998931060390486,0.10326582732351107,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.85,0.15815383195877075,1365,1163,108,0.9999999994655232,0.12197941288885074,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.9,0.25976383686065674,1365,1224,140,1.0,0.14502762675936662,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.95,0.3862430453300476,1365,1287,173,1.0,0.16609657443586695,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,1.0,Infinity,1365,1365,216,1.0,0.1908004548634014,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.05,6.139278411865234e-06,448,19,0,0.37735360253530764,0.3048072038224393,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.1,1.8835067749023438e-05,448,44,0,0.10467395472325523,0.14529118744074865,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.15,3.886222839355469e-05,448,77,0,0.01926271979590453,0.08580474873991992,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.2,6.794929504394531e-05,448,89,0,0.010408804957535786,0.07467960442974643,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.25,0.00011777877807617188,448,113,0,0.0030392568040834528,0.059299602729019754,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.3,0.00018554925918579102,448,129,0,0.0013376579723584634,0.052140022347761564,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.35,0.00028967857360839844,448,147,0,0.0005313368998205695,0.04590452365000604,True,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.4,0.0005283951759338379,448,172,0,0.00014738731582510645,0.03936558891421913,True,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.45,0.0009936094284057617,448,205,0,2.7123084951893553e-05,0.033134968004191155,True,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.5,0.0014939308166503906,448,218,1,0.00017367635586309135,0.041564425026161415,True,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.55,0.002362847328186035,448,246,1,4.618481135322849e-05,0.0369124558804029,True,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.6,0.0041356682777404785,448,269,2,0.00011705205571641464,0.04103386481313734,True,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.65,0.008545339107513428,448,301,3,0.00015732409029648004,0.042677151384423066,True,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.7,0.014996349811553955,448,320,4,0.00031529683901973456,0.0454584215420027,True,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.75,0.02636897563934326,448,335,7,0.00542441864810862,0.05748990957896966,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.8,0.05720853805541992,448,354,9,0.016013736136479575,0.06277759213845807,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.85,0.13876044750213623,448,377,12,0.05985228735093817,0.07026638513650017,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.9,0.25916528701782227,448,409,17,0.2577522064764248,0.08139148270987119,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.95,0.3930169343948364,448,421,24,0.7839326888446643,0.1005629893431563,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,1.0,Infinity,448,448,40,0.9998227533636806,0.13833324669159847,False,"DIAGNOSTIC (descriptive, not deployable)"
